Name,Acronym,Deadline,Conf Date,Core
International Workshop on OpenCL,,,,
International Conference on Computer Science and Information Technology,,,,
International Workshop Description Logics,,,,
IEEE International Conference on Digital Twins and Parallel Intelligence,DTPI,13/01/2025,22/04/2025,
International Conference on Computers in Education,ICCE,15/08/2024,11/01/2025,C
Iberian Conference on Information Systems and Technologies,,,,
International SoC Design Conference,,,,
"Algorithmic Approaches for Transportation Modeling, Optimization, and Systems",,,,
International Conference on eDemocracy & eGovernment,,,,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,27/09/2024,03/03/2025,A
Mile-High Video Conference,MHV,01/10/2024,,
International Conference on Utility and Cloud Computing,UCC,07/09/2024,,Unranked
International Conference on Intelligent User Interfaces,IUI,09/09/2024,,A
"Design, Automation and Test in Europe Conference",DATE,,,B
ACM/SIGAPP Symposium On Applied Computing,SAC,,,Multiconference
IEEE/ACM International Conference on Software Engineering,ICSE,30/09/2024,13/12/2024,A*
EuroSYS,EuroSys,22/10/2024,30/03/2025,A
ACM Conference on Recommender Systems,RecSys,15/04/2025,,A
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,,,A*
ACM International Conference on Multimodal Interaction,ICMI,,,B
ACM International Conference on Information and Knowledge Management,CIKM,01/03/2025,,A
International Conference on Mobile Human-Computer Interaction,HCI,24/01/2025,,National
ACM International Conference on Future and Sustainable Energy Systems,,17/01/2025,,
ACM SIGIR Conference on Human Information Interaction and Retrieval,CHIIR,01/01/2025,,
ACM/IEEE Design Automation Conference,DAC,13/11/2024,22/06/2025,TBR
ACM Symposium on Parallelism in Algorithms and Architectures,SPAA,01/01/2025,,B
ACM SIGKDD Conference on Knowledge Discovery and Data Mining,KDD,01/01/2025,,A*
ACM/SIGDA International Symposium on Field Programmable Gate Arrays,FPGA,01/01/2025,,TBR
IEEE International Conference on Quantum Computing and Engineering,QCE,08/04/2024,15/09/2024,TBR
International Conference on Affective Computing and Intelligent Interaction,ACII,15/03/2024,15/09/2024,C
IEEE International Conference on e-Science,e-Science,01/05/2025,15/09/2025,B
IEEE International Conference on Cognitive Infocommunications,CogInfoCom,15/04/2024,16/09/2024,
IEEE International Conference on Smart Mobility,SM,03/05/2024,16/09/2024,
IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion,ACSOS-C,24/06/2024,16/09/2024,
Conference on Sustainable Energy Supply and Energy Storage Systems,NEIS,12/03/2024,16/09/2024,
Annual EOS/ESD Symposium,EOS/ESD,02/02/2024,16/09/2024,
IEEE International Conference on Autonomic Computing and Self-Organizing Systems,ACSOS,26/04/2024,16/09/2024,
European Conference on Radiation and Its Effects on Components and Systems,RADECS,12/04/2024,16/09/2024,
IEEE Workshop on Wide Bandgap Power Devices and Applications in Europe,WiPDA Europe,15/05/2024,16/09/2024,
IEEE International System-on-Chip Conference,SOCC,15/04/2024,16/09/2024,
IEEE IAS Petroleum and Chemical Industry Technical Conference,PCIC,01/09/2023,22/09/2025,
International Conference on Intelligent Systems Applications to Power Systems,ISAP,15/06/2024,05/11/2024,
International Workshop on High Technologies History and Development,ATECHDEV,12/08/2024,16/09/2024,
IEEE International Conference on Distributed Computing Systems,ICDCS,17/01/2025,21/07/2025,A
USENIX Security Symposium,Usenix Security,22/01/2025,13/08/2025,
ACM Conference on Computer and Communications Security,CCS,28/01/2024,14/10/2024,A*
"ACM SIGCOMM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communications",SIGCOMM,02/02/2024,04/08/2024,A*
ACM Architectural Support for Programming Languages and Operating Systems,ASPLOS,18/10/2024,30/03/2025,A*
International European Conference on Parallel and Distributed Computing,Euro Par,25/03/2024,26/08/2024,
ACM/IEEE International Conference on Parallel Architecture and Compilation Techniques,PACT,01/04/2024,13/10/2024,B
"ACM/IEEE International Conference for High Performance Computing, Networking, Storage and Analysis",SC,02/04/2024,17/11/2024,A
ACM Workshop on Hot Topics in Storage and File Systems,HotStorage,05/04/2024,08/07/2024,
IEEE Symposium on Security and Privacy,IEEE S&P,14/11/2024,12/05/2025,
Annual Network and Distributed System Security Conference,NDSS,17/04/2024,24/02/2025,A*
IEEE/ACM Annual International Symposium on Microarchitecture,MICRO,18/04/2024,02/11/2024,TBR
Asia-Pacific Systems Workshop,APSys,02/05/2024,04/09/2024,
USENIX Symposium on Networked Systems Design and Implementation,NSDI,19/09/2024,16/04/2025,National: USA
International Conference on High-Performance and Embedded Architectures and Compilers,HiPEAC,01/06/2024,20/01/2025,
"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",MASCOTS,09/06/2024,21/10/2024,B
ACM Workshop on Hot Topics in Networks,HotNets,27/06/2024,18/11/2024,
IEEE International Symposium on High Performance Computer Architecture,HPCA,02/08/2024,01/03/2025,A*
ACM conference on Programming Language Design and Implementation,PLDI,14/11/2024,16/06/2025,A*
ACM/IEEE International Symposium on Computer Architecture,ISCA,15/11/2024,21/06/2025,A*
USENIX Symposium on Operating Systems Design and Implementation,OSDI,10/12/2024,07/07/2025,A*
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
International Topical Meeting on Microwave Photonics,MWP,01/07/2024,17/09/2024,
International Scientific Conference Electronics,ET,16/06/2024,17/09/2024,
International Conference on Federated Learning Technologies and Applications,FLTA,30/05/2024,17/09/2024,
"IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids",SmartGridComm,10/04/2024,17/09/2024,
"International Conference on Multimedia Computing, Networking and Applications",MCNA,01/05/2024,17/09/2024,
IEEE International Workshop on Applied Measurements for Power Systems,AMPS,01/06/2024,18/09/2024,
International Symposium on Electromobility,ISEM,03/06/2024,18/09/2024,
International Conference on Content-Based Multimedia Indexing,CBMI,22/03/2024,18/09/2024,
IEEE International Conference on Computing Systems and Telematics,ICCSAT,15/06/2024,18/09/2024,
International Conference on Industrial and Systems Engineering,ICISE,21/07/2024,18/09/2024,
"International Workshop on the Theory of Computational Sensing and its Applications to Radar, Multimodal Sensing and Imaging",CoSeRa,31/01/2024,18/09/2024,
International Conference on Smart Electronics and Communication,ICOSEC,07/05/2024,18/09/2024,
International Conference on Contemporary Computing and Informatics,IC3I,05/05/2024,18/09/2024,
IEEE Biennial Congress of Argentina,ARGENCON,25/03/2024,18/09/2024,
IEEE International Symposium on Technology and Society,ISTAS,09/06/2024,18/09/2024,C
IEEE International Conference on Modern Electrical and Energy System,MEES,08/06/2025,17/09/2025,
Electrical Engineering Faculty Conference,BulEF,12/07/2024,19/09/2024,
Scientific School Dynamics of Complex Networks and their Applications,DCNA,01/06/2024,19/09/2024,
Sixth International Conference Neurotechnologies and Neurointerfaces,CNN,01/06/2024,19/09/2024,
"IEEE International Conference on Communication, Computing and Signal Processing",IICCCS,01/07/2024,19/09/2024,
IEEE Jubilee International Symposium on Intelligent Systems and Informatics,SISY,20/05/2024,19/09/2024,National: serbia
International Conference on Advanced Computer Information Technologies,ACIT,30/09/2024,10/12/2024,
RoEduNet Conference: Networking in Education and Research,RoEduNet,31/07/2024,19/09/2024,
IEEE/OES Autonomous Underwater Vehicles Symposium,AUV,05/05/2023,19/09/2024,
IEEE Healthcare Innovations and Point of Care Technologies,HI-POCT,02/08/2024,19/09/2024,
"International Conference on Distributed Systems, Computer Networks and Cybersecurity",ICDSCNC,10/07/2024,20/09/2024,
"International Conference on Mechatronics, Robotics and Automation",ICMRA,01/05/2024,20/09/2024,
The International Conference on Power and Renewable Energy,ICPRE,05/03/2024,20/09/2024,
International Conference on Intelligent Technology and Embedded Systems,ICITES,30/04/2024,20/09/2024,
International Conference on Robotics and Computer Vision,ICRCV,25/04/2024,20/09/2024,
International Conference on Wavelet Analysis and Pattern Recognition,ICWAPR,20/05/2024,20/09/2024,
International Conference on Electronics and Information Technology,EIT,05/07/2024,20/09/2024,
"South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference",SEEDA-CECNSM,01/05/2024,20/09/2024,
International Annual Conference on Complex Systems and Intelligent Science,CSIS-IAC,01/07/2024,20/09/2024,
International Symposium on Robotics & Intelligent Manufacturing Technology,ISRIMT,10/07/2024,20/09/2024,
"IEEE Information Technology, Networking, Electronic and Automation Control Conference",ITNEC,05/08/2024,20/09/2024,
"International Conference on Communication, Computing and Energy Efficient Technologies",I3CEET,01/05/2024,20/09/2024,
"IEEE International Conference on Signal Processing, Informatics, Communication and Energy Systems",SPICES,10/05/2024,20/09/2024,
International Conference on Artificial Intelligence and Computer Information Technology,AICIT,18/03/2024,20/09/2024,
International Conference on Signal Processing and Intelligent Computing,SPIC,15/07/2024,20/09/2024,
International Conference on Big Data & Artificial Intelligence & Software Engineering,ICBASE,10/07/2024,20/09/2024,
International Conference on Intelligent Computing and Data Mining,,10/07/2024,28/10/2024,
"International Conference on Energy, Power and Electrical Engineering",EPEE,10/07/2024,20/09/2024,
IEEE/ACIS International Conference on Computer and Information Science,ICIS,22/07/2024,23/10/2024,C
International Conference on Information Communication and Signal Processing,ICICSP,10/04/2024,21/09/2024,
International Seminar on Application for Technology of Information and Communication,iSemantic,14/06/2024,21/09/2024,
International Symposium on Parallel Computing and Distributed Systems,PCDS,15/07/2024,21/09/2024,
IEEE North Karnataka Subsection Flagship International Conference,NKCon,30/06/2024,21/09/2024,
International Artificial Intelligence and Data Processing Symposium,IDAP,18/08/2024,21/09/2024,
"IEEE Ultrasonics, Ferroelectrics, and Frequency Control Joint Symposium",UFFC-JS,14/04/2024,22/09/2024,
European Conference on Optical Communications,ECOC,26/04/2024,22/09/2024,
IEEE Asia-Pacific Conference on Antennas and Propagation,APCAP,15/06/2024,22/09/2024,
"Euro-Asian Pulsed Power Conference, International Conference on High-Power Particle Beams and International Symposium on Electromagnetic Launch Technology",EAPPC/BEAMS/EML,01/04/2024,22/09/2024,
IEEE Anniversary of the International Conference on Robotics and Automation,ICRA@40,31/05/2024,23/09/2024,
"International Conference ""Quality Management, Transport and Information Security, Information Technologies""",QM&TIS&IT,01/05/2024,23/09/2024,
European Microwave Integrated Circuits Conference,EuMIC,17/03/2024,23/09/2024,
International Conference on Numerical Simulation of Optoelectronic Devices,NUSOD,28/05/2024,23/09/2024,
IEEE International Conference on Mobile Ad-Hoc and Smart Systems,MASS,22/04/2024,23/09/2024,B
IEEE International Conference on Intelligent Transportation Systems,ITSC,01/03/2025,18/11/2025,
International Conference on Simulation of Semiconductor Processes and Devices,SISPAD,07/04/2024,24/09/2024,
International Conference on Research and Education in Mechatronics,REM,31/03/2024,24/09/2024,
"Annual Allerton Conference on Communication, Control, and Computing",Allerton,10/07/2024,24/09/2024,
IEEE International Conference on Cluster Computing Workshops,CLUSTER Workshops,17/05/2024,24/09/2024,
European Microwave Conference,EuMC,17/03/2024,24/09/2024,
International Conference on Management of Large-Scale System Development,MLSD,01/02/2024,24/09/2024,
IEEE Central America and Panama Student Conference,CONESCAPAN,04/06/2024,24/09/2024,
Fifth International Conference on Intelligent Data Science Technologies and Applications,IDSTA,10/07/2024,24/09/2024,
Global Digital Health Knowledge Exchange & Empowerment Conference,gDigiHealth.KEE,31/03/2024,24/09/2024,
International Workshop on Impedance Spectroscopy,IWIS,01/06/2024,24/09/2024,
IEEE Technology & Engineering Management Conference - Asia Pacific,TEMSCON-ASPAC,24/03/2024,25/09/2024,
International Conference on Integrated Systems in Medical Technologies,ISMT,26/04/2024,25/09/2024,
International Conference on Renewable Energy and Power Engineering,REPE,15/04/2024,25/09/2024,
"IEEE  Congreso Internacional en Inteligencia Ambiental, Ingeniería de Software y Salud Electrónica y Móvil",AmITIC,30/06/2024,25/09/2024,
Austrochip Workshop on Microelectronics,Austrochip,16/06/2024,25/09/2024,
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,30/06/2024,25/09/2024,C
AEIT International Annual Conference,AEIT,30/05/2024,25/09/2024,
International 3D Systems Integration Conference,3DIC,14/06/2024,25/09/2024,
Global Conference on Wireless and Optical Technologies,GCWOT,30/06/2024,25/09/2024,
International Conference on Electrical Engineering and Computer Science,ICECOS,01/06/2024,25/09/2024,
IEEE IAS Electrical Safety Workshop Colombia,ESW,25/09/2024,03/03/2025,
International Conference on Futuristic Technologies in Control Systems & Renewable Energy,ICFCR,27/05/2024,25/09/2024,
European Radar Conference,EuRAD,17/03/2024,25/09/2024,
International Conference of the Biometrics Special Interest Group,BIOSIG,30/05/2024,25/09/2024,
"Signal Processing: Algorithms, Architectures, Arrangements, and Applications",SPA,15/05/2024,25/09/2024,
International Workshop on Thermal Investigations of ICs and Systems,THERMINIC,06/04/2024,25/09/2024,
"IEEE International Conference on Computing, Applications and Systems",COMPAS,31/05/2024,25/09/2024,
International Conference on Actual Problems of Electron Devices Engineering,APEDE,01/07/2024,26/09/2024,
"International Conference on Cyber Physical Systems, Power Electronics and Electric Vehicles",ICPEEV,19/02/2024,26/09/2024,
IEEE Conference on AgriFood Electronics,CAFE,13/05/2024,26/09/2024,
"International Conference on Electrical Engineering, Computer Science and Informatics",EECSI,15/06/2024,26/09/2024,
"International Conference on Software, Telecommunications and Computer Networks",SoftCOM,01/05/2024,26/09/2024,
"International Conference on Energy, Power and Grid",ICEPG,14/07/2024,27/09/2024,
Asian Aerospace and Astronautics Conference,AAAC,15/04/2024,27/09/2024,C
International Conference on Intelligent Computing and Human-Computer Interaction,ICHCI,12/07/2024,27/09/2024,
IEEE Region 10 Symposium,TENSYMP,31/10/2024,07/07/2025,
International Conference on Advances in Computing Research on Science Engineering and Technology,ACROSET,15/03/2024,27/09/2024,
International Ural Conference on Electrical Power Engineering,UralCon,30/04/2024,27/09/2024,
IEEE International Conference on Information Systems and Computer Aided Education,ICISCAE,28/06/2024,27/09/2024,
International Conference on Electronic Information Engineering and Computer Science,EIECS,09/07/2024,27/09/2024,
IEEE China Computational Power Conference,CCPC,10/06/2024,27/09/2024,
"International Conference on Computer, Communication, Control & Information Technology",C3IT,20/02/2024,28/09/2024,
"International Conference on Advanced Informatics: Concept, Theory and Application",ICAICTA,13/06/2024,28/09/2024,
Embedded Systems Week,ESWEEK,22/03/2024,,
AIAA DATC/IEEE Digital Avionics Systems Conference,DASC,02/02/2024,05/11/2024,C
IEEE International Semiconductor Laser Conference,ISLC,17/05/2024,,
International Conference on Sustaining Heritage: Embracing Technological Advancements,ICSH,10/04/2024,29/09/2024,
IEEE Conference on Communications and Network Security,CNS,10/06/2024,,
IEEE International Symposium on the Internet of Sounds,IS2,31/07/2025,28/10/2025,
IEEE International Power Electronics and Motion Control Conference,PEMC,15/03/2024,,
"SIBGRAPI Conference on Graphics, Patterns and Images",SIBGRAPI,03/06/2024,,
"IEEE International Multi-Conference on Engineering, Computer and Information Sciences",SIBIRCON,15/09/2024,,
"Artificial Intelligence x Humanities, Education, and Art",AIxHEART,01/07/2023,,
"Conference on AI, Science, Engineering, and Technology",AIxSET,01/07/2024,,
IEEE Region 10 Humanitarian Technology Conference,R10-HTC,25/04/2025,01/10/2024,
International Conference on Advances in Electrical and Communication Technologies,ICAECOT,01/03/2024,01/10/2024,
International Conference on Network of the Future,NoF,10/05/2024,02/10/2024,
International Seminar on Electron Devices Design and Production,SED,01/07/2024,02/10/2024,
International Conference on System Engineering and Technology,ICSET,07/06/2024,02/10/2024,
IEEE Workshop on Microwave Theory and Technology in Wireless Communications,MTTW,13/08/2024,02/10/2024,
Biennial Baltic Electronics Conference,BEC,17/05/2024,02/10/2024,
Congreso Internacional de Innovación y Tendencias en Ingeniería,CONIITI,25/06/2024,02/10/2024,
International Conference on Higher Education Learning and Teaching,ICHELT,15/05/2024,03/10/2024,
International Symposium on Accreditation of Engineering and Computing Education,ICACIT,15/06/2024,03/10/2024,
ACM-IEEE International Symposium on Formal Methods and Models for System Design,MEMOCODE,06/05/2024,03/10/2024,C
IEEE International Scientific Conference on Information Technology and Management Science of Riga Technical University,ITMS,19/08/2024,03/10/2024,
IEEE International Workshop on Rapid System Prototyping,RSP,08/07/2024,03/10/2024,C
IEEE Global Conference for Advancement in Technology,GCAT,30/06/2024,04/10/2024,
"Second International Conference on Microwave, Antenna and Communication",MAC,31/07/2024,04/10/2024,
IEEE Holm Conference on Electrical Contacts,HOLM,09/02/2024,06/10/2024,
IEEE International Integrated Reliability Workshop,IIRW,16/06/2024,06/10/2024,
IEEE Conference on Electrical Insulation and Dielectric Phenomena,CEIDP,13/01/2025,14/09/2025,
IEEE Working Conference on Software Visualization,VISSOFT,09/06/2024,06/10/2024,B
IEEE Conference on Electrical Performance of Electronic Packaging and Systems,EPEPS,14/06/2024,06/10/2024,
IEEE Vehicle Power and Propulsion Conference,VPPC,22/04/2024,07/10/2024,
IEEE International Conference on Cognitive Mobility,CogMob,01/06/2024,07/10/2024,
International Workshop on the Electromagnetic Compatibility of Integrated Circuits,EMC Compo,30/04/2024,07/10/2024,
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,12/05/2024,07/10/2024,C
"IEEE International Conference on Systems, Man, and Cybernetics",SMC,31/03/2025,05/10/2025,B
IEEE Marine Imaging Workshop,MIW,07/06/2024,07/10/2024,
"IEEE International Symposium on Precision Clock Synchronization for Measurement, Control, and Communication",ISPCS,15/04/2024,07/10/2024,
IEEE Secure Development Conference,SecDev,10/06/2024,07/10/2024,
Conference on Blockchain Research & Applications for Innovative Networks and Services,BRAINS,20/05/2024,08/10/2024,
IEEE International Conference and Expo on Real Time Communications at IIT,RTC,05/08/2024,08/10/2024,
IEEE Symposium on Product Compliance Engineering -,SPCE Bloomington,07/06/2024,08/10/2024,
IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems,DFT,26/04/2024,08/10/2024,
International Conference on Ocean Studies,ICOS,01/08/2024,08/10/2024,
"International Conference on Power, Energy, Control and Transmission Systems",ICPECTS,30/06/2024,08/10/2024,
International Semiconductor Conference,CAS,03/06/2024,09/10/2024,
IEEE Conference on Antenna Measurements and Applications,CAMA,30/06/2024,09/10/2024,
"International Conference on Computer, Control, Informatics and its Applications",IC3INA,30/08/2024,09/10/2024,
International Conference on Digital Business and Technology Management,ICONDBTM,30/05/2024,09/10/2024,
"International Conference on System Theory, Control and Computing",ICSTCC,28/04/2024,10/10/2024,
International Conference on Emerging Trends in Smart Technologies,ICETST,31/05/2024,10/10/2024,
IEEE International Scientific Conference on Power and Electrical Engineering of Riga Technical University,RTUCON,23/08/2024,10/10/2024,
"IEEE Transportation Electrification Conference and Expo, Asia-Pacific",ITEC Asia-Pacific,30/05/2024,10/10/2024,
"International Workshop on Quantum & Biomedical Applications, Technologies, and Sensors",Q-BATS,01/06/2024,10/10/2024,
International Conference Automatics and Informatics,ICAI,28/07/2024,10/10/2024,
IEEE International Conference on Artificial Intelligence & Green Energy,ICAIGE,15/06/2024,10/10/2024,
Medical Technologies Congress,TIPTEKNO,31/07/2024,10/10/2024,
Global Reliability and Prognostics and Health Management Conference,PHM-Beijing,28/07/2024,11/10/2024,
International Conference on System Reliability and Safety Engineering,SRSE,25/05/2024,11/10/2024,
"International Conference on Cloud Computing, Big Data Application and Software Engineering",CBASE,30/07/2024,11/10/2024,
IEEE MIT Undergraduate Research Technology Conference,URTC,09/08/2024,11/10/2024,
International Conference on Computer Engineering and Intelligent Control,ICCEIC,01/08/2024,11/10/2024,
IEEE Workshop on Energy Data Visualization,EnergyVis,28/06/2024,13/10/2024,
"IEEE VIS Workshop on Visualization Education, Literacy, and Activities",EduVIS,01/07/2024,13/10/2024,
IEEE Topological Data Analysis and Visualization,TopoInVis,14/06/2024,13/10/2024,
Workshop on Accessible Data Visualization,AccessViz,15/07/2024,13/10/2024,
IEEE Symposium on Large Data Analysis and Visualization,LDAV,17/06/2024,13/10/2024,
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,01/03/2025,19/10/2025,A
IEEE Digital Platforms and Societal Harms,DPSH,15/04/2024,14/10/2024,
IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters,MetroSea,31/03/2024,14/10/2024,
IEEE International Carnahan Conference on Security Technology,ICCST,31/07/2025,13/10/2025,
IEEE PES Innovative Smart Grid Technologies Europe,ISGT EUROPE,01/05/2024,14/10/2024,
Connecting the Unconnected Summit,CTUS,03/06/2024,14/10/2024,
International Conference on Computing and Artificial Intelligence Technology,ICCAIT,01/07/2024,14/10/2024,
IEEE Evaluation and Beyond - Methodological Approaches for Visualization,BELIV,01/07/2024,14/10/2024,
"IEEE International Conference on Design, Test and Technology of Integrated Systems",DTTIS,15/05/2024,14/10/2024,
International Conference on Sustainable Expert Systems,ICSES,02/06/2024,15/10/2024,
Horizons of Information Technology and Engineering,HITE,30/06/2024,15/10/2024,
IEEE Eighth Ecuador Technical Chapters Meeting,ETCM,09/06/2024,15/10/2024,
International Conference on Harmonics and Quality of Power,ICHQP,01/04/2024,15/10/2024,
International Conference on Digital Futures and Transformative Technologies,ICoDT2,04/05/2024,15/10/2024,
IEEE Future Networks World Forum,FNWF,16/06/2024,15/10/2024,
IEEE International Conference on Body Sensor Networks,BSN,01/06/2024,15/10/2024,C
IEEE International Symposium on Phased Array Systems and Technology,ARRAY,01/07/2023,15/10/2024,
Symposium on Internet of Things,SIoT,03/06/2024,15/10/2024,
IEEE International Symposium for Design and Technology in Electronic Packaging,SIITME,15/08/2024,16/10/2024,
International Conference on Electrical Engineering and Informatics,ICon EEI,31/07/2024,16/10/2024,
IEEE International Electronics Manufacturing Technology,IEMT,15/03/2024,16/10/2024,
New Trends in Signal Processing,NTSP,01/05/2024,16/10/2024,
"International Conference on Power, Energy and Innovations",ICPEI,04/06/2024,16/10/2024,
International Conference on Smart Systems and Technologies,SST,01/05/2024,16/10/2024,Australasian C
"Electrical Power, Electronics, Communications, Controls and Informatics Seminar",EECCIS,12/04/2024,16/10/2024,
Innovations in Intelligent Systems and Applications Conference,ASYU,10/06/2024,16/10/2024,
IEEE Workshop on Power Electronics for Aerospace Applications,PEASA,21/07/2024,16/10/2024,
IEEE Digital Education and MOOCS Conference,DEMOcon,12/04/2024,16/10/2024,
International Conference on Engineering Management of Communication and Technology,EMCTECH,31/07/2024,16/10/2024,
International Conference on Optimization and Applications,ICOA,20/05/2024,17/10/2024,
IEEE International Conference And Exposition On Electric And Power Engineering,EPEi,03/06/2024,17/10/2024,
IEEE Wireless Africa Conference,WAC,31/05/2024,17/10/2024,
Conference of the Oriental COCOSDA International Committee for the Co-ordination and Standardisation of Speech Databases and Assessment Techniques,O-COCOSDA,15/07/2024,17/10/2024,
International Conference on Electrical Engineering and Photonics,EExPolytech,02/09/2024,17/10/2024,
IEEE International Conference and Workshop Óbuda on Electrical and Power Engineering,CANDO-EPE,20/07/2024,17/10/2024,
"International Conference on Telecommunication Systems, Services, and Applications",TSSA,01/05/2024,17/10/2024,
"IEEE Annual Ubiquitous Computing, Electronics & Mobile Communication Conference",UEMCON,30/08/2024,17/10/2024,
IEEE International Conference on Blockchain and Distributed Systems Security,ICBDS,20/03/2024,17/10/2024,
International Conference on Advanced Electrical Equipment and Reliable Operation,IAEERO,30/04/2024,18/10/2024,
International Communication Engineering and Cloud Computing Conference,CECCC,30/05/2024,18/10/2024,
International Conference on Communication Software and Networks,ICCSN,20/05/2024,18/10/2024,
International Conference on Power and Energy Applications,ICPEA,20/04/2024,18/10/2024,
IEEE International Conference on Intelligent Transportation Engineering,ICITE,05/06/2024,18/10/2024,
International Conference on Smart Grid and Clean Energy Technologies,ICSGCE,10/05/2024,18/10/2024,
IEEE International Conference on Control Science and Systems Engineering,ICCSSE,30/05/2024,18/10/2024,
International Conference on New Trends in Computational Intelligence,NTCI,28/08/2024,18/10/2024,
IEEE International Conference on Unmanned Systems,ICUS,15/07/2024,18/10/2024,
Asia Conference on Mechanical Engineering and Aerospace Engineering,MEAE,25/05/2024,18/10/2024,
